1;Almacen Madrid;madrid@almacendeustoshop.com;Calle Mayor 10, Madrid;28013
2;Almacen Barcelona;barcelona@almacendeustoshop.com;Avenida Diagonal 45, Barcelona;08019
3;Almacen Valencia;valencia@almacendeustoshop.com;Calle Colon 25, Valencia;46004
4;Almacen Sevilla;sevilla@almacendeustoshop.com;Calle Sierpes 32, Sevilla;41004
5;Almacen Zaragoza;zaragoza@almacendeustoshop.com;Paseo Independencia 12, Zaragoza;50001
6;Almacen Malaga;malaga@almacendeustoshop.com;Calle Larios 8, Malaga;29005
7;Almacen Murcia;murcia@almacendeustoshop.com;Gran Via Alfonso X 3, Murcia;30008
8;Almacen Palma;palma@almacendeustoshop.com;Calle Olmos 21, Palma;07003
9;Almacen Jaen;jaen@almacendeustoshop.com;Paseo de la Estacion 23, Jaen;23003
10;Almacen Bilbao;bilbao@almacendeustoshop.com;Gran Via 50, Bilbao;48011
