   1; Muneca articulada      ; Muneca articulada colores vibrantes               ; 115.93; 34; JUGUETERIA
   2; Set de toallas         ; Set de toallas facil de limpiar                   ; 386.2 ;  6; HOGAR
   3; Pantalon vaquero       ; Pantalon vaquero gran comodidad                   ; 304.12;  7; ROPA
   4; Portatil               ; Portatil con gran autonomia                       ; 481.51; 77; ELECTRONICA
   5; Paquete de arroz       ; Paquete de arroz perfecto para el dia a dia       ;  30.87; 97; ALIMENTACION
   6; Auriculares Bluetooth  ; Auriculares Bluetooth de ultima generacion        ;  87.69; 32; ELECTRONICA
   7; Puzzle de 1000 piezas  ; Puzzle de 1000 piezas materiales seguros          ; 365.53; 68; JUGUETERIA
   8; Cargador portatil      ; Cargador portatil de facil uso                    ; 367.61; 80; OTROS
   9; Agenda anual           ; Agenda anual con diseno exclusivo                 ; 410.48; 23; LIBRERIA
  10; Juego de mesa familiar ; Juego de mesa familiar con accesorios incluidos   ; 385.76; 92; JUGUETERIA
  11; Juego de mesa familiar ; Juego de mesa familiar estimula la creatividad    ; 146.95; 98; JUGUETERIA
  12; Caja de cereales       ; Caja de cereales sin azucar anadido               ;  36.04; 62; ALIMENTACION
  13; Cortina de ducha       ; Cortina de ducha materiales resistentes           ; 377.84; 71; HOGAR
  14; Raqueta de tenis       ; Raqueta de tenis ideal para entrenamiento         ; 401.88; 90; DEPORTE
  15; Pesas ajustables       ; Pesas ajustables ergonomico                       ; 398.33; 25; DEPORTE
  16; Portatil               ; Portatil con pantalla 4K                          ; 386.23; 76; ELECTRONICA
  17; Paquete de arroz       ; Paquete de arroz sin azucar anadido               ;  16.43; 35; ALIMENTACION
  18; Boligrafo azul         ; Boligrafo azul tapa dura                          ; 199.67; 40; LIBRERIA
  19; Set de marcadores      ; Set de marcadores tapa dura                       ; 488.98; 73; LIBRERIA
  20; Chaqueta impermeable   ; Chaqueta impermeable para cualquier ocasion       ; 443.46; 90; ROPA
  21; Sudadera con capucha   ; Sudadera con capucha diseno atemporal             ;   8.91; 54; ROPA
  22; Boligrafo azul         ; Boligrafo azul ideal para estudiantes             ; 323.72; 81; LIBRERIA
  23; Mochila escolar        ; Mochila escolar de facil uso                      ; 388.82; 91; OTROS
  24; Paquete de arroz       ; Paquete de arroz perfecto para el dia a dia       ;  17.39; 94; ALIMENTACION
  25; Set de marcadores      ; Set de marcadores edicion limitada                ; 145.54; 76; LIBRERIA
  26; Zapatillas deportivas  ; Zapatillas deportivas diseno atemporal            ; 379.74; 10; ROPA
  27; Televisor LED          ; Televisor LED ideal para entretenimiento          ; 298.29; 32; ELECTRONICA
  28; Chaqueta impermeable   ; Chaqueta impermeable gran comodidad               ;  59.67; 82; ROPA
  29; Set de toallas         ; Set de toallas color neutro                       ; 180.46; 91; HOGAR
  30; Tableta de chocolate   ; Tableta de chocolate sin azucar anadido           ;  29.05; 26; ALIMENTACION
  31; Mochila escolar        ; Mochila escolar compacto y ligero                 ; 403.67;  4; OTROS
  32; Puzzle de 1000 piezas  ; Puzzle de 1000 piezas estimula la creatividad     ; 145.85; 35; JUGUETERIA
  33; Boligrafo azul         ; Boligrafo azul edicion limitada                   ; 370.07; 10; LIBRERIA
  34; Cojin decorativo       ; Cojin decorativo color neutro                     ; 100.31; 22; HOGAR
  35; Sarten antiadherente   ; Sarten antiadherente facil de limpiar             ;  77.54; 17; HOGAR
  36; Balon de futbol        ; Balon de futbol resistente y duradero             ;  35.79; 91; DEPORTE
  37; Paraguas automatico    ; Paraguas automatico de facil uso                  ;  43.65; 97; OTROS
  38; Esterilla de yoga      ; Esterilla de yoga ergonomico                      ; 261.88; 39; DEPORTE
  39; Zapatillas deportivas  ; Zapatillas deportivas para cualquier ocasion      ; 320.05; 30; ROPA
  40; Linterna LED           ; Linterna LED compacto y ligero                    ;  76.45; 47; OTROS
  41; Linterna LED           ; Linterna LED compacto y ligero                    ; 484.18; 12; OTROS
  42; Botella de aceite      ; Botella de aceite en envase reciclable            ;  24.19; 72; ALIMENTACION
  43; Set de marcadores      ; Set de marcadores con diseno exclusivo            ; 461.24; 55; LIBRERIA
  44; Balon de futbol        ; Balon de futbol resistente y duradero             ; 187.95; 69; DEPORTE
  45; Auriculares Bluetooth  ; Auriculares Bluetooth con pantalla 4K             ;  63.28; 18; ELECTRONICA
  46; Set de toallas         ; Set de toallas diseno elegante                    ; 245.53; 93; HOGAR
  47; Set de marcadores      ; Set de marcadores ideal para estudiantes          ;  29.08; 84; LIBRERIA
  48; Pantalon vaquero       ; Pantalon vaquero corte moderno                    ; 410.47; 10; ROPA
  49; Televisor LED          ; Televisor LED ideal para entretenimiento          ; 177.58; 31; ELECTRONICA
  50; Pesas ajustables       ; Pesas ajustables ergonomico                       ; 158.3 ;  4; DEPORTE
  51; Sarten antiadherente   ; Sarten antiadherente perfecto para el hogar       ; 418.06; 14; HOGAR
