1;Nike SL;nike@contacto.com
2;Adidas SL;adidas@info.com
3;Sony SL;sony@sales.com
4;Samsung SL;samsung@support.com
5;Apple SL;apple@service.com
6;Vans SL;vans@contacto.com
7;Zara SL;zara@info.com
8;Decathlon SL;decathlon@sales.com
9;Lego SL;lego@support.com
10;Canon SL;canon@service.com
11;Microsoft SL;microsoft@contacto.com
12;Bosch SL;bosch@info.com
13;Nestle SL;nestle@sales.com
14;Ikea SL;ikea@support.com
15;Puma SL;puma@service.com
16;Lenovo SL;lenovo@contacto.com
17;Philips SL;philips@info.com
18;Mattel SL;mattel@sales.com
19;Salomon SL;salomon@support.com
20;Acer SL;acer@service.com
21;Reebok SL;reebok@contacto.com
22;Carrefour SL;carrefour@info.com
23;HP SL;hp@sales.com
24;Nintendo SL;nintendo@support.com
25;Xiaomi SL;xiaomi@service.com
26;The North Face SL;the@contacto.com
27;Under Armour SL;under@info.com
28;L Oreal SL;l@sales.com
29;Asus SL;asus@support.com
30;Columbia SL;columbia@service.com
31;Hasbro SL;hasbro@contacto.com
32;New Balance SL;new@info.com
33;Dell SL;dell@sales.com
34;Logitech SL;logitech@support.com
35;Patagonia SL;patagonia@service.com
36;Fujifilm SL;fujifilm@contacto.com
37;JBL SL;jbl@info.com
38;Garmin SL;garmin@sales.com
39;Converse SL;converse@support.com
40;Lacoste SL;lacoste@service.com
41;Moulinex SL;moulinex@contacto.com
42;Karcher SL;karcher@info.com
43;H&M SL;h&m@sales.com
44;Playmobil SL;playmobil@support.com
45;Levi's SL;levi's@service.com
46;Guess SL;guess@contacto.com
47;Black+Decker SL;black+decker@info.com
48;Seagate SL;seagate@sales.com
49;Kingston SL;kingston@support.com
50;Timberland SL;timberland@service.com
51;Bic SL;bic@contacto.com
52;Pritt SL;pritt@info.com
53;Milwaukee SL;milwaukee@sales.com
54;Makita SL;makita@support.com
55;Champion SL;champion@service.com
56;Fila SL;fila@contacto.com
57;Crocs SL;crocs@info.com
58;Braun SL;braun@sales.com
59;Whirlpool SL;whirlpool@support.com
60;Miele SL;miele@service.com
61;Kenwood SL;kenwood@contacto.com
62;Rowenta SL;rowenta@info.com
63;Beurer SL;beurer@sales.com
64;Oral-B SL;oral-b@support.com
65;Brita SL;brita@service.com
66;Stanley SL;stanley@contacto.com
67;Pritt SL;pritt@info.com
68;Nerf SL;nerf@sales.com
69;Barbie SL;barbie@support.com
70;Fisher Price SL;fisher@service.com
71;Quiksilver SL;quiksilver@contacto.com
72;Roxy SL;roxy@info.com
73;Speedo SL;speedo@sales.com
74;Wilson SL;wilson@support.com
75;Spalding SL;spalding@service.com
76;Head SL;head@contacto.com
77;Lego Education SL;lego@info.com
78;Santillana SL;santillana@sales.com
79;Oxford SL;oxford@support.com
80;Anaya SL;anaya@service.com
81;Planeta SL;planeta@contacto.com
82;SM SL;sm@info.com
83;Edeba SL;edebe@sales.com
84;Vicens Vives SL;vicens@service.com
85;DeAgostini SL;deagostini@contacto.com
86;RBA SL;rba@info.com
87;Aurum SL;aurum@sales.com
88;Norma SL;norma@support.com
89;Dolmen SL;dolmen@service.com
90;Panini SL;panini@contacto.com
91;DK SL;dk@sales.com
92;Grijalbo SL;grijalbo@support.com
93;Montena SL;montena@service.com
94;Ediciones B SL;ediciones@contacto.com
95;Alfaguara SL;alfaguara@info.com
96;Salvat SL;salvat@sales.com
97;Larousse SL;larousse@support.com
98;Everlast SL;everlast@service.com
