1,Nike SL,nike@info.com
2,Adidas SL,adidas@info.com
3,Sony SL,sony@info.com
4,Samsung SL,samsung@info.com
5,Apple SL,apple@info.com
6,Vans SL,vans@info.com
7,Zara SL,zara@info.com
8,Decathlon SL,decathlon@info.com
9,Lego SL,lego@info.com
10,Canon SL,canon@info.com
11,Microsoft SL,microsoft@info.com
12,Bosch SL,bosch@info.com
13,Nestle SL,nestle@info.com
14,Ikea SL,ikea@info.com
15,Puma SL,puma@info.com
16,Lenovo SL,lenovo@info.com
17,Philips SL,philips@info.com
18,Mattel SL,mattel@info.com
19,Salomon SL,salomon@info.com
20,Acer SL,acer@info.com
21,Reebok SL,reebok@info.com
22,Carrefour SL,carrefour@info.com
23,HP SL,hp@info.com
24,Nintendo SL,nintendo@info.com
25,Xiaomi SL,xiaomi@info.com
26,The North Face SL,the@info.com
27,Under Armour SL,under@info.com
28,L Oreal SL,loreal@info.com
29,Asus SL,asus@info.com
30,Columbia SL,columbia@info.com
31,Hasbro SL,hasbro@info.com
32,New Balance SL,new@info.com
33,Dell SL,dell@info.com
34,Logitech SL,logitech@info.com
35,Patagonia SL,patagonia@info.com
36,Fujifilm SL,fujifilm@info.com
37,JBL SL,jbl@info.com
38,Garmin SL,garmin@info.com
39,Converse SL,converse@info.com
40,Lacoste SL,lacoste@info.com
41,Moulinex SL,moulinex@info.com
42,Kärcher SL,kärcher@info.com
43,H&M SL,h&m@info.com
44,Playmobil SL,playmobil@info.com
45,Levi's SL,levi's@info.com
46,Guess SL,guess@info.com
47,Black+Decker SL,black+decker@info.com
48,Seagate SL,seagate@info.com
49,Kingston SL,kingston@info.com
50,Timberland SL,timberland@info.com
51,Bic SL,bic@info.com
52,Pritt SL,pritt@info.com
53,Milwaukee SL,milwaukee@info.com
54,Makita SL,makita@info.com
55,Champion SL,champion@info.com
56,Fila SL,fila@info.com
57,Crocs SL,crocs@info.com
58,Braun SL,braun@info.com
59,Whirlpool SL,whirlpool@info.com
60,Miele SL,miele@info.com
61,Kenwood SL,kenwood@info.com
62,Rowenta SL,rowenta@info.com
63,Beurer SL,beurer@info.com
64,Oral-B SL,oral-b@info.com
65,Brita SL,brita@info.com
66,Stanley SL,stanley@info.com
67,Pritt SL,pritt@info.com
68,Nerf SL,nerf@info.com
69,Barbie SL,barbie@info.com
70,Fisher Price SL,fisher@info.com
71,Quiksilver SL,quiksilver@info.com
72,Roxy SL,roxy@info.com
73,Speedo SL,speedo@info.com
74,Wilson SL,wilson@info.com
75,Spalding SL,spalding@info.com
76,Head SL,head@info.com
77,Lego Education SL,lego@info.com
78,Santillana SL,santillana@info.com
79,Oxford SL,oxford@info.com
80,Anaya SL,anaya@info.com
81,Planeta SL,planeta@info.com
82,SM SL,sm@info.com
83,Edebé SL,edebé@info.com
84,Bruño SL,bruño@info.com
85,Vicens Vives SL,vicens@info.com
86,DeAgostini SL,deagostini@info.com
87,RBA SL,rba@info.com
88,Aurum SL,aurum@info.com
89,Norma SL,norma@info.com
90,Dolmen SL,dolmen@info.com
91,Panini SL,panini@info.com
92,Scholastic SL,scholastic@info.com
93,DK SL,dk@info.com
94,Grijalbo SL,grijalbo@info.com
95,Montena SL,montena@info.com
96,Ediciones B SL,ediciones@info.com
97,Alfaguara SL,alfaguara@info.com
98,Salvat SL,salvat@info.com
99,Larousse SL,larousse@info.com
100,Everlast SL,everlast@info.com
